Nothing here, but you're warm.	這裡沒什麼，但你很接近了。
"There are not too many zombies in this land... too damp, I suppose.  There are some floating spirits, I have heard."	「這片土地上殭屍不太多……太潮濕了，我想。不過我聽說有浮靈。」
"I use flowers from Erana's Peace to the north in nearly all my potions.  They have some of the magic of the place even when they are dried."	「我在幾乎所有的藥水裡都用北邊伊瑞娜的安寧之地的花。即使乾燥了，它們仍然保有那個地方的魔力。」
"I will pay you five silvers for a flask full of flowers."	「我會給你五枚銀幣買一瓶花。」
"I use the mushrooms from a fairy ring to make Magic Potions."	「我用妖精圈裡的蘑菇來配製法力藥水。」
"I will pay you one gold for some."	「我會給你一枚金幣買一些。」
"The Cheetaur looks like a cross between a panther and a man.  It is vicious and tough.  Unless you are a very tough fighter, you had best try to get away from it.  If you do manage to kill it, then I will pay you five silvers for each claw."	「獵豹人看起來像豹子和人類的混合體。它凶悍又強悍。除非你是個非常厲害的戰士，否則最好逃跑。如果你真的殺死了它，我會給你每根爪子五枚銀幣。」
"The Trolls around here are tough monsters that cannot stand the light of day and so are found at night or in caves.  They are very difficult to kill, but I will pay two healing potions for the beard of a Troll."	「這裡的巨魔是強悍的怪物，無法忍受日光，只在夜間或洞穴裡活動。它們很難殺死，但我會給你兩瓶治療藥水買一根巨魔鬍鬚。」
"I have heard that the Dryad of the woods knows a Dispel Potion to disenchant people with spells upon them."	「我聽說森林的樹精知道怎麼配驅咒藥水，用來解除人身上的咒語。」
"I will pay you one silver for each empty flask you bring me so I can use it for more potions.  Waste not, want not, I always say."	「你每帶來一個空瓶子，我就給你一枚銀幣，這樣我可以用來裝新藥水。我總是說，勿浪費，勿短缺。」
"Well, my name is Amelia Appleberry, but mostly I am just known as the Healer around here."	「好吧，我叫阿蜜莉亞·蘋果莓，但大家都叫我治療師。」
"Oh, that's my pet, Pterry, the pterosaur.  He has a girl friend, Pteresa, who has a nest in the oak outside my door.  Pterry keeps me company and listens to my chatter as I work."	「哦，那是我的寵物翼龍彼得。他有個女朋友彼得薩，在我門外的橡樹上築巢。彼得陪著我，還聽我工作時嘮叨。」
"He was just a young dashing man when he last rode off and never returned."	「他上次騎馬離開時還是個年輕英俊的小伙子，但再也沒有回來。」
"The dear child, I can still picture her with her beautiful blond hair done up in braids.  She was so sweet.  It's hard to believe she's gone."	「親愛的孩子，我還能看到她那漂亮的金色長髮編成辮子。她真是可愛。難以相信她已經離我們而去。」
"Those brutes!  I'm always having to heal someone they've beaten up and robbed.  I hate thieves and brigands."	「那些野蠻人！我經常得治療被他們打劫的人。我恨小偷和山賊。」
"Almost due north of here is the meadow called Erana's Peace.  It is a very magical area and it is a place of safety.  It is beautiful all year, for the flowers are always in bloom."	「幾乎正北方有一個叫伊瑞娜的安寧之地的草地。那是一個很有魔力的地方，也是安全的地方。它一年四季都很漂亮，因為花總是開著的。」
"I have the skill to use my magic to create potions.  I am a bit proud about it.  Not everyone can do that, you know."	「我有用魔法配製藥水的技能。我對此感到驕傲。並不是每個人都能做到，你知道。」
"Mandrake root is used in a variety of spells, mostly for evil purposes.  Mandrake must be pulled from a deadman's grave at midnight.  The root is particularly powerful."	「曼德拉草根用在各種法術裡，大多是邪惡目的。曼德拉草必須在午夜時從死人的墳墓裡拔出。根部特別強大。」
"I'm sorry, I just don't know much about that.  Perhaps you should ask someone else."	「對不起，我不太了解那個。也許你應該問別人。」
Thank you, but I have all the flowers I need.	謝謝，但我已經有夠多的花了。
"Thank you.  I often use flowers from Erana's Peace in potion making.  Here are your silvers."\nYou put them away.	「謝謝。我經常在配製藥水時用伊瑞娜的安寧之地的花。給你銀幣。」\n你把它們放起來。
Thank you, but I have enough mushrooms.	謝謝，但我已經有夠多的蘑菇了。
You have ruined the mushrooms with toadstools.  I can not buy your mushrooms.	你把蘑菇搞壞了，有毒菇混在裡面。我買不了你的蘑菇。
"These are very nice.  I'll dry them and grind them into a powder.  Let me think...oh yes! I said these are worth a gold.  Here you are."\nYou put it away.	「這些很好。我會把它們曬乾磨成粉。讓我想想……哦對！我說過這些值一枚金幣。給你。」\n你把它放起來。
"Do you mean to tell me that you actually managed to kill a Cheetaur?  You're quite a hero, aren't you?  Here is your money.\nYou might think about purchasing a Healing Potion in case you have to fight such monsters again."	「你是說你真的殺死了獵豹人？你真是個英雄呢。給你錢。\n你應該考慮買瓶治療藥水，以備再次跟這樣的怪物戰鬥。」
"Don't tell me you actually killed a Troll?  Why, you are really amazing.  I haven't had any Troll's Beard for a long time.  Here are two Healing Potions for the beard."\nYou put them away.	「別告訴我你真的殺死了巨魔？天哪，你真了不起。我好久沒見過巨魔鬍鬚了。給你兩瓶治療藥水。」\n你把它們放起來。
The Healer makes some sort of arcane gesture over each flask of water, then smiles.	治療師對著每個水瓶做出某種神秘的手勢，然後微笑。
"Flying Water. how clever."	「飛水。真聰明。」
"So you helped the Dryad, that's nice.  She does keep the forest around here healthy.  So that's how to make a Dispel Potion, is it?  Thanks for letting me know."	「所以你幫了樹精，很好。她確實保持著這裡森林的健康。所以這就是配製驅咒藥水的方法？謝謝你告訴我。」
I don't have any use for that.	我用不著那個。
"You'll have to be more specific."	「你得說得更具體一點。」
I need all my flasks for potions.  You'll have to get one somewhere else.	我所有的瓶子都要用來裝藥水。你得從別的地方找。
I don't have any.	我沒有。
You don't really think that is the correct way to actually win this game, do you?	你不會真的以為那是贏這個遊戲的正確方法吧？
