Introduction	序章
The very air in this meadow radiates feelings of calmness and peace.  You wouldn't be able to tell if the spell worked here.	這個草地的空氣本身就散發出寧靜和平的氣息。你甚至無法分辨法術在這裡是否會起作用。
You can't imagine hurting anything in this meadow.  	你無法想像在這個草地裡傷害任何東西。
The sky is clear.	天空晴朗無雲。
The sun feels warm.	陽光暖洋洋的。
The stars shine.	繁星閃爍。
To the north, the high, snowy peaks of the Dragon Smoke mountains are clearly visible.	北方遠處，龍煙山脈高聳的雪峰清晰可見。
You are at the snowline.  All around you, except for the forest, the rocks and mountains glisten with slippery snow.	你已經來到雪線。除了森林以外的四周，岩石和山脈都被滑溜的積雪所覆蓋。
The rock faces are slippery with melted snow.	岩石表面因融化的雪水而溼滑。
You sleep comfortably among the fragrant flowers.	你舒舒服服地在香氣四溢的花叢中睡著了。
The sweet, juicy fruit of the tree is amazingly satisfying and refreshing.	樹上香甜多汁的果實令人滿足又清爽。
The scroll vanishes even as you read the magical runes upon it.  You now have the knowledge to cast a "Calm" spell. 	當你讀著捲軸上的魔法符文時，捲軸化為虛無。你現在已經掌握了施放「鎮定術」的知識。
The meadow lies covered with a blanket of flowers, unusual for this early in the spring.  It is warm, even though surrounded by the late snows of winter. 	春天才剛開始，草地上卻已經覆滿了一片花海——這很不尋常。儘管被冬天的殘雪包圍，這裡卻溫暖如春。
A large, carved stone lies flat on the ground.  You feel as though someone gentle was watching over you.  You feel that you are safe here.   	一塊巨大的石雕平放在地上。你感到彷彿有某個溫柔的人在守護著你。你感到自己在這裡很安全。
The air has the fresh, clean scent of the mountains, accompanied by numerous perfume-like fragrances.    	空氣中飄散著山區的清新氣息，混合著各式各樣香氛般的花香。
There is an aura of magic throughout this meadow.  It seems to be benevolent and restorative.	整個草地籠罩在魔法的光輝中。這魔法似乎既善良又有療癒的力量。
There is no further purpose in casting the Open spell.	沒必要再施放「開啟術」了。
The tree's blossoms are soft, green and fragrant.	樹上的花朵柔軟、青翠又芬芳。
The fruit sparkles in the sunlight, yet it appears soft and fuzzy.	果實在陽光下閃閃發光，但看起來軟軟的、毛毛的。
The fruit glows and shimmers in the moonlight.  It produces a fragrance like a sun-ripened strawberry.	果實在月光下閃閃發亮、搖搖欲墜。散發出像熟透草莓的香氣。
The small tree is most amazing.  It bears blossoms and fruit at the same time, and the fruit on its boughs seems to shyly appear and disappear, shimmering.	這棵小樹最是不可思議。它同時開著花和結著果，枝頭上的果實似乎害羞地時隱時現、閃爍著。
There is no need to climb the little tree.	不需要爬這棵小樹。
Thick bushes block your path to the south. 	濃密的灌木叢擋住了你向南的路。
There is a cave entrance large enough to admit a man.	有一個足夠讓人進出的洞穴入口。
It's already unlocked.	它已經開著了。
The chest is already open.	寶箱已經開著了。
You don't have the right tools -- you'll have to find another way to open it.	你沒有合適的工具——你得想想別的辦法打開它。
It's locked -- you'll have to use another skill to open this.	它上了鎖——你得用另一種技能才能打開。
The dead Ogre's chest lies open, its contents glittering brightly.	死掉的食人妖的寶箱打開著，裡面的東西閃閃發光。
The dead Ogre's chest lies open and empty.	死掉的食人妖的寶箱打開著，但裡面空空如也。
How much more calm can he get?	他還能更冷靜嗎？
You've wasted a spell.	你浪費了一個法術。
You don't have a knife.	你沒有刀子。
The Ogre is already dead.  It would do no good to kill him again. 	食人妖已經死了。再殺它一次也沒用。
Ok, he'll be a dazzled cadaver.	好吧，他就成了個被眩暈的屍體囉。
You're kidding, right?	你開玩笑呢，對吧？
There is a dead Ogre here.	這裡有一隻死掉的食人妖。
The chest has a heavy lid with a strong lock.	寶箱有個沉重的蓋子和堅固的鎖。
The Ogre is carrying a chest in his massive arms.	食人妖的巨大臂膀裡抱著一個寶箱。
This Ogre is in a bad mood.	這隻食人妖心情很差。
And big.  Very BIG. 	而且超大隻。非常非常大。
There is a big, ugly, dead Ogre here.	這裡有一隻又大又醜、已經死掉的食人妖。
This Ogre will never eat again.	這隻食人妖再也吃不了東西了。
This Ogre looks like it would rather eat you.	這隻食人妖看起來寧願吃了你。
Hostile intent is evident.  You prepare for battle.	它明顯滿懷惡意。你做好了戰鬥的準備。
You need to get closer to the dead Ogre.	你需要更靠近這隻死亡的食人妖。
There is nothing here to open.	這裡沒有什麼可以打開的。
The dead Ogre's chest is empty.	死掉的食人妖的寶箱是空的。
The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.	死掉的食人妖的寶箱裡裝著一枚金幣和四十三枚銀幣，你把它們拿走了。
The Ogre is dazzled by your spell. 	食人妖被你的法術眩暈了。
A search of the dead Ogre's body produces no treasure.	搜索死掉的食人妖的屍體沒有找到任何寶藏。
However, the treasure chest he was carrying lies beside his body.	不過，他身旁還放著他原本抱著的寶箱。
The dead Ogre's huge club is much too heavy for you to lift.	死掉的食人妖的巨大狼牙棒重得你根本拿不起來。
You force the Ogre's chest open.	你強行打開了食人妖的寶箱。
The chest is locked.	寶箱上了鎖。
Your spell is too weak to open the Ogre's chest.	你的法術力量太弱，打不開食人妖的寶箱。
You're wasting a spell.	你在浪費法術。
There's nothing here to open.	這裡沒有什麼可以打開的。
The chest is held shut by the Ogre's massive arms.	寶箱被食人妖巨大的臂膀夾住了。
standing	站著
Your spell unlocks the Ogre's chest.	你的法術打開了食人妖的寶箱。
The Ogre appears to have recovered from your spell.	食人妖似乎已經從你的法術中恢復過來了。
You retrieve your daggers.	你拿回了你的匕首。
The Ogre's chest is already unlocked.	食人妖的寶箱已經打開了。
The lock on the Ogre's chest clicks open.  The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.  	食人妖寶箱上的鎖喀地打開了。死掉的食人妖的寶箱裡裝著一枚金幣和四十三枚銀幣，你把它們拿走了。
A magical aura emanates from the cave's entrance.	洞穴入口散發著魔法的光輝。
You want to fetch THAT?	你想去撿那個？
I don't know what you want to fetch. 	我不知道你想撿什麼。
The ground shows the beginning of new spring grass. 	地面上冒出了新春的草芽。
Don't open the Ogre -- it's all gucky and squishy inside.	別打開食人妖——裡面全都黏糊糊、軟趴趴的。
You don't seem to have a weapon to charge.	你好像沒有可以充能的武器。
Your weapon is now magically charged.	你的武器已經被施加了魔法充能。
The rocks look like they've been dropped in place by a gigantic hand.  	這些石頭看起來像是被某個巨人的手丟在這裡的。
You see some of the trees of the forest. 	你看到了森林中的一些樹木。
You'd better not.  The bear isn't wearing a flea collar (just a locked chain).	最好別亂來。熊沒有戴跳蚤項圈（只是一條上了鎖的鐵鍊）。
The bear seems to find your flowers tasty, but not very filling.	熊似乎覺得你的花朵好吃，但吃不飽。
The Bear won't let you near the lock.	熊不會讓你靠近那把鎖。
Try as you might, you can't pick the lock.  It must be magical.	再怎麼努力你也撬不開這把鎖。肯定是魔法鎖。
Although looking somewhat scorched, the bear is still very dangerous.	雖然看起來有點焦黑，熊還是非常危險。
Stunned, the bear is temporarily frozen.	熊被震懾住了，暫時動不了。
On one side of this cavern is a creature which looks like a large bear.  There is something attached to his leg.	這個洞穴的一側有一隻看起來像大熊的生物。它的腿上綁著什麼東西。
The bear appears docile for the time being.	熊目前看起來很溫馴。
The bear looks menacing and angry.  There is a locked chain attached to its leg.	熊看起來凶狠又憤怒。它的腿上綁著一條鐵鍊。
You have made this bear very happy; it would be wise to take advantage of his current mood. 	你讓這隻熊非常高興；趁著它現在心情好，你應該好好利用這個機會。
You know that bears can't talk!	你知道熊是不會說話的啦！
Hi there!  I represent Ditto Realty.  We have some LOVELY properties that are PROVEN bargains.  We know that's true, because we've sold them so many times.	嗨，朋友！我代表迪圖房地產公司。我們有些超棒的房產都是保證划算的便宜貨。我們知道這是真的，因為我們賣過那麼多次。
Beyond the bear, the cave seems to continue.  The bear blocks the way.	熊的另一邊，洞穴似乎還要繼續。但熊擋住了路。
An eerie luminescence emanates from a chamber deeper within the cave.	一種詭異的光芒從洞穴深處的某個空間散發出來。
A very large bear rears up as you approach.  It looks hungry and dangerous.	當你靠近時，一隻巨大的熊站了起來。它看起來既飢餓又危險。
As your eyes adjust from sunlight to darkness, you examine the interior of this eerie cavern.  You sense something moving off to your right.	當你的眼睛從陽光逐漸適應黑暗時，你打量著這個詭異洞穴的內部。你感覺到右邊有東西在動。
The Kobold's key disappears as you turn it in the lock.	當你用地精的鑰匙轉動鎖時，鑰匙消失了。
There is no magic in the cave.	洞穴裡沒有魔法。
There is an aura of magic throughout the cavern.  It seems to center on the bear	整個洞穴籠罩在魔法的光輝中。魔法的中心似乎在熊身上
Once your eyes get adjusted to the dark, there's still nothing to see in here.	當你的眼睛適應了黑暗，你發現這裡根本什麼也看不到。
What could you possibly do with a stalagmite... or is it a stalactite?	你能拿石筍……或者是石鐘乳……怎麼辦呢？
The stalagmites grow slowly... or are they stalactites?	石筍生長得很緩慢……或者那是鐘乳石？
What could you possibly do with a stalactite... or is it a stalagmite?	你究竟能拿鐘乳石做什麼……或者那是石筍？
The stalactites grow slowly... or are they stalagmites?	鐘乳石生長得很緩慢……或者那是石筍？
The Kobold doesn't look very calm.  In fact, it looks totally unaffected by your spell.	地精看起來一點都不平靜。實際上，它完全不受你的咒語影響。
You just bumped into something on the floor.  It feels like a large wooden chest, but you don't see anything there.	你剛撞上地板上的東西。感覺像是一個大木箱，但你什麼都看不見。
You will have to open it first.  The chest seems to be locked.	你必須先打開它。寶箱似乎被鎖住了。
You've already taken the treasure.	你已經拿走了寶物。
You are too far away to get the Kobold's treasure.	你距離地精的寶物太遠了。
The key doesn't fit in the chest.  It must be for a different lock.	鑰匙塞不進寶箱。一定是別的鎖用的。
You have no skill at picking locks.	你沒有開鎖的本領。
You've already unlocked the chest. 	你已經打開了寶箱。
You don't see any locks here. 	這裡沒有鎖。
You're not close enough.	你離得不夠近。
You will have to open the chest first.  It seems to be locked.	你必須先打開寶箱。它似乎被鎖住了。
The chest is now empty.  Funny thing, that. 	寶箱現在是空的。真奇怪。
There is no sign of any other treasure in the cavern.	洞穴裡沒有其他寶物的跡象。
You don't *see* any treasure here.	你看不到這裡有什麼寶物。
Where the chest was, you see numerous pieces of gold and silver.	寶箱原本的位置，你看到許多金幣和銀幣。
You see the outline of a chest glowing in the south end of the cavern.	你在洞穴南端看到一個發光的寶箱輪廓。
You can detect a faint glimmering of magic from the shattered remains of the chest.	你能感知到破碎寶箱殘骸中微弱的魔法閃爍。
A strong magical aura radiates from the Kobold's key.	地精的鑰匙散發出強大的魔法光暈。
There no longer seem to be any magical effects or spells active in this part of the cavern.	這部分洞穴中似乎不再有任何魔法效應或咒語活躍。
Uh oh, you've woken the Kobold.	哎喲，你驚動了地精。
You now have the Kobold's key.  Nice work!	你現在拿到了地精的鑰匙。幹得漂亮！
The fungus is slimy and firmly attached to the cave walls.  You'd better leave it alone.	菌類又溼又滑，緊貼在洞壁上。你最好別碰它。
Phosphorescent fungi illuminate the cavern with an unearthly glow.	磷光菌以詭異的光芒照亮洞穴。
You retrieve the dropped key.	你撿起掉落的鑰匙。
You see a large, brass key lying on the ground.  A faint glow emanates from the key.	你看到一把大銅鑰匙躺在地上。鑰匙散發出微弱的光芒。
Your foot slips on the wet cavern floor and makes a scuffing noise.	你的腳在溼滑的洞穴地面上滑了一下，發出擦擦聲。
There are no monsters here to attack.	這裡沒有怪物可以攻擊。
That's what you're doing.  Keep going!	那就是你在做的。繼續加油！
Uh oh.  You weren't stealthy enough.  You have awoken the Kobold.	哎喲。你不夠謹慎。你驚動了地精。
You can't reach the key from here.	你從這裡夠不到鑰匙。
The Kobold won't let you near his key.	地精不會讓你靠近它的鑰匙。
You take the Kobold's glowing key.	你拿起了地精發光的鑰匙。
VERY carefully, you remove the key from around the Kobold's neck.	你非常小心地把鑰匙從地精的脖子上取下來。
The strange creature is dressed in ragged clothes.  It has large, pale eyes. It must have spent its entire life in these caves!	這奇怪的生物穿著破爛衣服。它有雙又大又蒼白的眼睛。它一定在這些洞穴裡度過了整個人生！
A large, brass key hangs from a thong around the creature's neck.	一把大銅鑰匙掛在生物脖子上的皮繩上。
The Kobold seems more interested in frying you with Ball Lightning than in talking to you.	地精似乎對用閃電球炸你比跟你聊天更感興趣。
The invisible lid of the invisible chest lifts.  A ripple of magical heat in the air informs you of a trap narrowly avoided by your skillful use of the Open spell.	隱形寶箱的隱形蓋子打了開來。空氣中的魔法熱浪告訴你，你精妙地使用開啟術躲過了一個陷阱。
You open the chest, remove its contents, and close it again.  You are now 10 gold and 60 silver pieces richer. 	你打開寶箱、取出裡面的東西、再關上。你現在多了 10 金幣和 60 銀幣。
You don't have time for that.	你沒時間做那事。
You pry at the sealed lid of the chest, and... 	你撬著封死的寶箱蓋子，然後……
This section of cave has an eerie quality.  You see a kobold resting on a ledge across from you.	洞穴這一段有股詭異的感覺。你看到一隻地精在對面的突出岩石上休息。
Wow!  The chest must have been booby-trapped.  You can really feel the damage from the blast. 	哇！寶箱一定裝了陷阱。你真的能感受到爆炸的傷害。
You hear a very satisfying "Snick" as your pick catches the lock just right. 	你聽到一聲令人滿意的「喀」聲，你的撬鎖工具完美地卡進了鎖。
Then you sense powerful magics dissipating around the lock, and your hands shake as you realize you have narrowly avoided some sort of Magical Doom.	然後你感受到強大的魔法在鎖周圍消散，當你意識到你勉強躲過某種魔法厄運時，你的手開始發抖。
Your fingers shift slightly, and you feel an odd prickling sensation coming from the lock.  You have a bad feeling about this.	你的手指輕輕移動，你感到鎖傳來奇怪的刺痛感。你有種不好的預感。
You hack and pry at the chest, but you are not strong enough to force its lid.	你砍著寶箱並試圖撬開，但你力氣不夠，無法強行打開蓋子。
The Kobold casts a spell with which you are not familiar.	地精施展了一個你不熟悉的法術。
You add ten gold and sixty silver coins to your money pouch.	你把十枚金幣和六十枚銀幣加進了錢袋。
You go!  You no stay here!	你滾！你別在這裡待著！
You don't need to cast Fetch -- everything here is in easy reach.	你不需要施展取物術──這裡的東西都隨手可得。
This part of the cavern is spacious and multi-leveled.  Phosphorescent fungus illuminates the cavern with an unearthly glow.	洞穴的這部分寬敞且多層次。磷光菌以詭異的光芒照亮洞穴。
On a rocky platform above the cave floor is a Kobold, one of the race of ugly, miserly creatures known for their skill in Magic.	在洞穴地面上方的岩石平台上，有一隻地精。這是一個醜陋、吝嗇的種族，以擅長魔法而聞名。
There's nothing to open here.	這裡沒有東西可以打開。
There are no passive spells to trigger here.	這裡沒有被動法術可以觸發。
You'd better not.  This cave is not recommended by the Michelin Guide. 	你最好別。米其林指南不推薦這個洞穴。
The stalactites look much like the stalagmites, except that they go the other way. 	鐘乳石看起來很像石筍，除了方向相反。
A faint glimmer of sunlight barely illuminates the cave entrance.	微弱的陽光勉強照亮了洞穴入口。
The Kobold eats its meals on this plain stone table.	地精在這個簡樸的石頭桌子上吃飯。
No time for that now!	現在沒時間那樣做！
You pick up the Kobold's mushrooms and put them in your pack.	你撿起地精的蘑菇，放進你的背包。
Some sort of food (mushrooms?) sits in a pile on the stone table.  It looks almost edible... to a Kobold.	某種食物（蘑菇？）堆在石桌上。看起來幾乎可以吃……對地精來說。
To the south and east is the forest from which you came. To the north and west are steep cliffs. There are some unusual plants growing out of the side of the cliffs. 	南邊和東邊是你來時的森林。北邊和西邊是陡峭的懸崖。懸崖側面長著一些不尋常的植物。
They are spitting what seems to be some kind of seed.	它們吐出似乎是某種種子的東西。
The cliff walls are very steep, and they look difficult to climb.	懸崖壁非常陡峭，看起來很難爬。
You've never seen anything quite like them. They're pretty, in a grotesque way.	你從來沒見過這樣的東西。它們有種怪異的美感。
You'd like to do that, wouldn't you?	你想那樣做，是吧？
You have no need to take the flowers.	你沒有必要摘花。
Since the flowers have stopped spitting, the seed might be a little harder to get to.	既然花已經停止吐種子了，種子可能會有點難拿。
Not now!	現在不行！
As you attempt to draw your weapon, you lose your balance momentarily.	你試圖拔出武器時，一時失去了平衡。
Playing catch with the Spirea plants would certainly be fun, but this seed has a future elsewhere.	跟繡線菊植物玩接球遊戲肯定很有趣，但這顆種子有別的用處。
You lose your concentration.	你失去了專注。
Your skill with the Open spell is not great enough to affect the plants.	你的開啟術技巧還不夠強，無法影響植物。
There is no need to be so destructive.	沒必要這麼有破壞性。
That spell would damage the seed.  You don't want to do that.	那個法術會傷害種子。你不想那樣做。
You can't see it.	你看不到它。
The large seed spins as it travels through the air.	大種子在空中飛行時旋轉著。
There's not much point to that now.	現在那樣做沒什麼意義。
Why do you think you're standing like this. Trying to catch Flying Water?	你為什麼站成這樣。想接住飛水？
You can't catch the seed from down on the ground.	你從地上抓不到種子。
Perhaps it would be better to find something else to throw.	也許找別的東西扔比較好。
You might have tried to throw a rock at the seed, but it's too late now.	你可能想過扔石頭打種子，但現在太晚了。
You get in position for a good throw.	你擺好姿勢準備投擲。
You need a good rock to throw.	你需要一塊好石頭來扔。
The meadow clearing in which you stand is grassy and littered with blown pine needles and small mossy rocks.	你站著的草地空地長滿了草，散落著被吹落的松針和長滿苔蘚的小石頭。
Wait a second!	等等！
The leaves look tough and fibrous.	葉子看起來又硬又有纖維。
You've already made a mess of that flower.	你已經把那朵花搞得一團糟了。
There's not much point in that, now that you've already done what you came here to do. 	既然你已經做完了來這裡的目的，那樣做就沒什麼意義了。
This looks like a good place to you.	這看起來像個不錯的地方。
You valiantly scrabble against the cliff wall, but it looks like your climbing skill could stand some improvement.	你勇敢地在懸崖壁上亂抓，但看起來你的攀爬技巧還有待改進。
Perhaps there is some other way to get to your objective.	也許還有其他方式到達你的目標。
You look for an appropriate place to climb.	你尋找適合爬的地方。
You pick up a few small rocks.	你撿起了幾塊小石頭。
Unless you just took a kangaroo potion, that plant is too far up the cliff to jump for.	除非你剛喝了袋鼠藥水，不然那株植物在懸崖上太高了，跳不到。
You see the seed floating above the shattered remains of the plant.	你看到種子浮在被摧毀的植物殘骸上方。
You take the seed.	你拿起種子。
You don't need a rock for anything.	你沒有必要用石頭做什麼。
It looks difficult. You look around for a good place to climb.	看起來很難。你四處尋找適合爬的地方。
You put the seed into your pack and climb down.	你把種子放進背包並爬了下去。
You remain unconscious on the ground for an indeterminate amount of time. As you finally revive, you realize that you've caused yourself a fair amount of damage.	你昏迷在地上好一陣子。當你終於清醒過來時，你意識到你對自己造成了相當大的傷害。
Ohhhhhhh!	哦──！
You place the seed into your pack.	你把種子放進背包。
You lose concentration, and the spell fades.  You will have to practice some more.	你失去了專注，咒語消散了。你還得多練習。
You get into a good position.	你擺好位置。
You might have tried to cast a spell at the seed, but it's too late now.	你可能想過對種子施法，但現在太晚了。
You can see pines, cedars, birches and other trees frequently associated with mountain forests.	你能看到松樹、雪松、樺樹和其他常見於山區森林的樹木。
Thick undergrowth stops you from moving north. 	濃密的灌木叢擋住了你向北的去路。
Dense brush blocks your path to the south. 	密集的灌叢擋住了你向南的去路。
That's one mean Ogress!	那真是隻狠辣的女食人妖！
You furtively grasp the Magic Mirror.	你偷偷地抓住了魔鏡。
There's no time for idle chatter.	沒時間閒聊。
There is a bat, all folded up within his wings, hanging on the wall. 	有隻蝙蝠用翅膀把自己包起來，掛在牆上。
You'd better not -- it's not your turn at bat.	你最好別──現在還輪不到你。
The bat must be using a digitized encoding program, as you don't seem to understand the high-pitched squeaks.  	蝙蝠一定在用數位編碼程式，因為你似乎聽不懂那些尖銳的吱吱聲。
It's a broken gate -- every well-furnished apartment should have one.	這是扇破門──每間布置得好的公寓都應該有一扇。
The tag says "Manufactured by Broom Motors, Ltd."  This must be one of those new sports brooms.	標籤上寫著「掃帚馬達公司製造」。這一定是那種新型運動掃帚。
Whatever's in this bucket, it really stinks.	這桶裡不管裝的是什麼，真的臭死了。
You're positive that Baba Yaga could make a fortune if she sold it on the open market. 	你很確定芭芭雅嘎要是在公開市場上賣它，一定能發大財。
The fire burns hot under the kettle.	火在茶壺下面燒得很熱。
There's a lot of SOMETHING cooking away in the huge black cauldron.	巨大的黑色大鍋裡有什麼東西在煮。
The smell is awful, the color is sickening, and you don't even want to know what's being prepared for dinner.	味道很難聞，顏色令人作嘔，你甚至不想知道在準備什麼晚餐。
The stone hearth and chimney radiates too much heat.	石頭壁爐和煙囪散發出太多熱度。
Okay, Okay, so you think there should be a window here?	好吧、好吧，你認為這裡應該有窗戶？
The glass seems to distort the view of the outside world... but which world is it? 	玻璃似乎扭曲了外部世界的景象……但那是哪個世界呢？
Window?  What window?	窗戶？什麼窗戶？
If you didn't know better, you would swear the mural on the wall looks just like an underground cave.  	如果你不了解的話，你會發誓牆上的壁畫看起來就像一個地下洞穴。
Upon reading the note, you realize it is a recipe for "Frog Legs Fricassee". 	看完紙條後，你發現這是份「炸青蛙腿」的食譜。
"Look pets... we have a visitor!" 	「看啊，寵物…我們來客人了！」
"Powers of Night, Shadows of Day -- Heed now my Words! Henceforth you STAY!"  	「夜晚之力，白晝之影——聽我話！從此你留下！」
"Well Dearies!  What shall we have for supper today?"	「好啊，親愛的們！今晚吃什麼？」
"Hero sandwiches? I had something more formal in mind."  	「英雄三明治？我想要點更正式的。」
"Now how does that spell go...?" 	「那咒語要怎麼唸…？」
"Hear me, oh Powers Of Klatha and Mana! Turn now my guest Into species called Rana!"  	「聽我說啊，克拉瑟和法力之力！把我的客人變成蛙族！」
"I learned that spell from Erasmus, kids.  Doesn't it look delicious?" 	「我從伊拉斯謨那裡學的咒語，孩子們。看起來美味嗎？」
"BE STILL!"	「別動！」
"Critics!  We can't all be gourmands, I suppose."	「美食家呢！我們也不是都是美食家。」
"So you're the one who's trying to be a hero around here.  The only good hero's a dead hero, I always say!"	「所以你就是想在這裡逞英雄的傢伙。我常說，好英雄就是死英雄！」
But I do have a need for a brave fool.  Are YOU brave?  	但我確實需要個勇敢的傻瓜。你勇敢嗎？
Yes 	是的
No 	不是
You make little froggy sounds, trying your best to indicate your agreement. 	你發出小青蛙的叫聲，盡力表示同意。
"Wellll..."	「嗯…」
"If you're willing to do a small little teensy favor for me, I might reconsider having you for supper."	「如果你願意幫我做個小小的小忙，我也許會重新考慮把你當晚餐吃。」
"I need the root of a mandrake plant that grows in the graveyard.  Will you be a sweet and fetch me some?"	「我需要在墓園裡長的曼陀羅根。親愛的，你能去給我拿一些嗎？」
"Anything but Frog Legs Fricassee!", you think. You croak your agreement to the task.	「什麼都好，就別是炸青蛙腿！」你想著。你用呱呱聲表示同意這任務。
"And I had my mouth watering for frog.  Oh well!"	「我本來還滿想吃青蛙呢。算了！」
"Hear what I say, And hear me right: Mandrake must be pulled At precisely Midnight!"  	「聽好我的話，聽清楚：曼陀羅要在午夜時分拔起！」
"This I tell you And this I say: Return with the root 'Ere the break of next day."  	「這是我告訴你的，我這樣說：天亮前帶著根回來。」
"Hear what I say And know I don't lie: Bring back the root Or else you will die!!"  	「聽我說，相信我不會說謊：把根帶回來，不然你會死！」
"You, Shoo!"	「你，滾！」
"Well, you won't be so tough after you've simmered in a little wine sauce."	「好啦，你在紅酒醬裡燉一下就不會那麼硬了。」
"Bon appetite, Dearies!" 	「好胃口，親愛的們！」
"It's just as well.  I'd lose my dinner if you were brave."	「也好啦。你要是勇敢的話我就沒胃口了。」
"Nothin' says lovin' like frog legs in the oven."	「什麼都比不上烤青蛙腿能表達愛意。」
"No mandrake for me, eh?  What a waste of spells you turned out to be."	「沒有曼陀羅給我？你這浪費法術的傢伙。」
"Actually, since it's my breakfast time, we'll have some amphibian omelette with bacon and legs."	「實際上，既然現在是我吃早餐的時間，我們就吃炒兩棲動物加培根和腿吧。」
"You again?"	「又是你？」
"Hello, Hero."	「你好，英雄。」
"Powers that rule Over regions soggy: Change this creature Back into a froggy!"  	「統治濕潤地域的力量：把這生物變回青蛙！」
"Ooooh... yummy!  I'm glad you returned." 	「喔…好吃！我很高興你回來了。」
"What have you DONE to me? How DARE you use my own spell against me? I'll, I'll... Oh, oh!"   	「你對我做了什麼？你敢用我自己的咒語對付我？我會…我會…哦，哦！」
"Hear me, O Elements of Air and Wind. Give me the power to save my own skin!"  	「聽我說，空氣與風的元素。給我拯救我自己的力量！」
"Back so soon?"	「這麼快就回來？」
"Ah!  Here it is."	「啊！找到了。」
"Spirits of Mist And Creatures of Bog: Transform my guest To the shape of a Frog."  	「迷霧之精與沼澤生物：把我的客人變成青蛙的形狀。」
"Yum, Yum.  Froggie Frappe!"	「好吃，好吃。青蛙小冰沙！」
"Did you bring me my mandrake like you promised?"	「你有像約好的那樣給我帶曼陀羅來嗎？」
"Well?  Where is it?"	「好？在哪？」
"What's the matter?  Got a frog in your throat?"	「怎麼了？喉嚨卡了隻青蛙？」
"I suppose I'll have to turn you back into whatever it is that you were. Pity!  You're much more appetizing this way." 	「我想我得把你變回原本的樣子。可惜了！你這樣看起來美味多了。」
