Where did all the pretty horses go?	漂亮的馬都到哪去了?
"The leader seems to be a brilliant strategist who manages each raid with little loss.  Once the leader is gone, I am sure the brigands can be easily defeated."	「首領似乎是個卓越的戰略家，每次襲擊都損失很少。首領一旦消滅，我相信山賊就能輕易被擊敗。」
"I know very little about magic, much to my sorrow.  Perhaps you should talk to the wizards Zara in town or Erasmus on Zauberberg."	「讓我遺憾的是，我對魔法知之甚少。也許你應該去鎮上和法師札拉或魔法山上的伊拉斯謨談談。」
"The prophecy states: 'Comes a Hero from the East, Free the man from in the beast; Bring the child from out the band; Drive the curser from the land.'"	「預言說:『東方來英雄，獸中人得解；群中子安返；詛咒者逐出境。』」
"You entered here from the east, and you released my son from the form of a bear. I am certain you can fulfill the rest of it, and remove this dreadful curse."	「你從東方進來，將我的兒子從熊的形態中解救出來。我確信你能完成其餘的部分，解除這個可怕的詛咒。」
"I have offered substantial rewards for the return of my son and my daughter, as well as for the leader and warlock of the brigands."	「我對我兒子和女兒的歸來，以及山賊首領和巫師的消息開出了豐厚的賞金。」
"As if this valley hasn't been plagued with enough evil magic users!  From what I have heard, his magic isn't powerful, but it is used effectively."	「好像這山谷還沒被足夠的邪惡魔法使者困擾!根據我所聽到的，他的魔法並不強大，但使用得非常有效。」
"Yorick was my court jester, a man of infinite jest.  He went off to find my daughter.  But alas, poor Yorick never returned."	「尤瑞克是我的廷臣弄臣，一個無限幽默的人。他離開去尋找我的女兒。但唉，可憐的尤瑞克再也沒有回來。」
"It would be nice if someone could finally defeat the brigands and claim the title."	「如果有人能最終擊敗山賊並獲得頭銜就好了。」
"We, er, that is, I, am appreciative of your efforts upon my behalf."	「呃，也就是說，我，對你代表我所做的努力表示感謝。」
"I'm pleased you managed to kill the Kobold."	「我很高興你設法殺死了地精。」
"The Baronet looks his usual haughty self, although his clothes are a little neater than the last time you saw him."	「男爵之子看起來還是老樣子，自命不凡，雖然他的衣服比你上次看到他時整潔一點。」
"Bear"	「熊」
"Kobold"	「地精」
"I am Baronet Barnard von Spielburg, heir to the lands and all within."	「我是男爵之子巴納德·馮·史畢柏格，土地和其中一切的繼承人。」
"I would prefer not to talk about that."	「我寧願不談這個。」
"I will soon lead the troops against the Brigands and wipe them from this land."	「我即將率領軍隊對抗山賊並將他們從這片土地上消滅。」
"I rode off one morning with my men in search of monsters to fight.  I got separated from my men when I came across the entrance to the cave."	「我一大早騎馬和我的人去尋找怪物戰鬥。當我來到洞穴入口時，我與我的人走散了。」
"As I entered, the Kobold ordered ME to get out.  I informed it that I was Baronet Barnard von Spielburg and heir to the lands and all within."	「當我進入時，地精命令我滾出去。我告訴它我是男爵之子巴納德·馮·史畢柏格，土地和其中一切的繼承人。」
"I ordered it to bow before me.  Then it cast a spell upon me and I remember very little after that."	「我命令它在我面前跪拜。然後它對我施了一個咒語，之後我幾乎不記得發生了什麼。」
"A brazier stands ready for the evenings coals."	「火盆已準備好放今晚的煤炭。」
"The couch must be a precious heirloom; why else would the Baron keep such an uncomfortable-looking piece of furniture around?"	「沙發一定是珍貴的傳家寶；否則男爵為什麼會保留這樣一件看起來不舒服的傢俱?」
"The von Spielburg coat of arms:  Twin Saurus guarding, Winged Chevron, on a field Azure."	「馮·史畢柏格家徽:雙索魯斯守衛，翼形紋章，藍色背景。」
"The guards stand stiffly at attention."	「守衛們挺直身體立正。」
"The guards are not free to speak."	「守衛不能自由說話。」
"A roast pig waits on the sideboard to be your supper."	「烤豬在邊櫃上等著作為你的晚餐。」
"The Baron collected these pillars on an ocean quest for an undersea kingdom."	「男爵在尋求水下王國的海洋冒險中收集了這些柱子。」
"You'd better stay in the main hall.  It wouldn't be wise to offend the Baron."	「你最好留在大廳。冒犯男爵不明智。」
"Suddenly, you hear voices, seeming to come from everywhere at once.  They all sound like Baba Yaga, and they all say:"	「突然，你聽到聲音，似乎來自四面八方。他們都聽起來像芭芭雅嘎，都說:」
"Wheeeeeere's myyyyyy Maaaandraaaaake Rooooooooooooot????"	「我的曼德拉根根根在哪裡????」
"The Great Hall of Spielburg Castle is not very impressive.  The room is plain, with scuffed floors and grimy plastered walls."	「史畢柏格城堡的大廳不太令人印象深刻。房間很簡樸，地板磨損，灰泥牆壁骯髒。」
"You are less than awed by Baron von Spielburg's Great Hall.  You'd think a Baron could keep his home a little cleaner.  You try to hide your disappointment."	「你對馮·史畢柏格男爵的大廳沒什麼印象。你會認為男爵可以讓他的家稍微整潔一點。你試著隱藏你的失望。」
"You rehearse your award acceptance speech."	「你排練你的獲獎感言。」
"You straighten your clothing.  The presence of all this nobility makes you slightly uncomfortable."	「你整理你的衣著。所有貴族的存在讓你有點不舒服。」
"The Baron grabbed these windows on crusades to Tangiers."	「男爵在對坦吉爾的十字軍東征中掠奪了這些窗戶。」
"The table is prepared for dinner.  Do you have timing or what?"	「餐桌已準備好。你的時機真好，不是嗎?」
"The table is filled to overflowing."	「餐桌擺滿了。」
"The tapestry on the back wall seems to depict some great battle of the past."	「後牆上的掛毯似乎描繪了過去的某場偉大戰役。」
"The throne of the Baron is an unimpressive wooden highback chair."	「男爵的王座是一把樸素的木製高背椅。」
"A vase from the Ding Dynasty.  (So named because their stoneware makes a pleasant bell-like sound when tapped with a fingernail.)"	「來自鼎朝的花瓶。(之所以如此命名，是因為他們的陶器用指甲輕敲時發出令人愉快的鈴聲。)」
"A wine of the rarest vintage from Raseir stands ready for dinner."	「來自拉賽爾的最稀有年份的葡萄酒已準備好作為晚餐用。」
"Then dance for us!"	「那就為我們舞蹈!」
"Humans can't dance."	「人類不會舞蹈。」
"Let's see you dance."	「讓我們看你舞蹈。」
"I bet you can't dance!"	「我打賭你不能舞蹈!」
"Dance for us!"	「為我們舞蹈!」
"All he wants to do is dance."	「他只想舞蹈。」
"Let's see you!"	「讓我們看看你!」
"Dance!"	「舞蹈!」
"Dance!!"	「舞蹈!!」
"No peeking!"	「不准偷看!」
"I think it's cheating!"	「我認為這是作弊!」
"Oh, just give it some dust!"	「哦，就給它一些灰塵!」
"You needed a bath, anyway."	「你本來就需要洗澡。」
"He's no fun!  He fell right over!"	「他沒有趣!他直接摔倒了!」
"Ooh, looky.  A human!"	「哦，看。一個人類!」
"What's it doing here?"	「它在這裡做什麼?」
"Yuck!"	「呃!」
"Let's have some fun with it."	「讓我們和它一起玩吧。」
"Humans!  Why is it always humans?"	「人類!為什麼總是人類?」
"Go away.  You can't play!"	「滾開。你不能玩!」
"I think it wants to play with us."	「我認為它想和我們玩。」
"Human, do you know how to dance?"	「人類，你知道如何舞蹈嗎?」
